X1	X2	X3	X4	X5	X6	normal_mean	GC_content	position
BX284601.5	0	100000	25.619	105.7154312	0.3573	0.045289737293850725	35.730000000000004	1
BX284601.5	100000	200000	16.377	131.2785797	0.3693	0.05922550434140381	36.93	2
BX284601.5	200000	300000	21.329	104.739769	0.36445	0.044757854410320035	36.445	3
BX284601.5	300000	400000	21.367	99.9568787	0.35621	0.042150458649394845	35.621	4
BX284601.5	400000	500000	28.588	94.1192093	0.35999	0.03896804937539523	35.998999999999995	5
BX284601.5	500000	600000	31.806	85.7626801	0.38676	0.03441248204153278	38.676	6
BX284601.5	600000	700000	41.864	61.5163689	0.35695	0.021194589705395957	35.695	7
BX284601.5	700000	800000	39.357	86.3651123	0.38983	0.03474089834757368	38.983000000000004	8
BX284601.5	800000	900000	32.744	44.7246704	0.38418	0.01204058433595773	38.418	9
BX284601.5	900000	1000000	37.228	89.4704895	0.38879	0.03643379674989617	38.879000000000005	10
BX284601.5	1000000	1100000	35.252	59.4339294	0.36429	0.020059346456207657	36.429	11
BX284601.5	1100000	1200000	46.999	102.7216492	0.34584	0.04365767508746181	34.583999999999996	12
BX284601.5	1200000	1300000	43.285	89.1837921	0.34681	0.03627750347563306	34.681	13
BX284601.5	1300000	1400000	47.685	60.2537003	0.34072	0.02050624509605098	34.072	14
BX284601.5	1400000	1500000	44.455	69.4735413	0.35081	0.025532447419738886	35.081	15
BX284601.5	1500000	1600000	49.307	75.438858	0.34078	0.028784443702437715	34.078	16
BX284601.5	1600000	1700000	45.041	82.2964478	0.35635	0.032522863246512115	35.635	17
BX284601.5	1700000	1800000	37.892	62.6343803	0.35948	0.021804074347982472	35.948	18
BX284601.5	1800000	1900000	41.676	97.3875885	0.37356	0.04074980842413949	37.356	19
BX284601.5	1900000	2000000	51.163	74.3731003	0.3176	0.028203445198425745	31.759999999999998	20
BX284601.5	2000000	2100000	38.238	95.0866165	0.37021	0.039495432040301544	37.021	21
BX284601.5	2100000	2200000	43.336	75.1113586	0.33509	0.02860590719131064	33.509	22
BX284601.5	2200000	2300000	31.045	108.2576904	0.36709	0.04667565155185767	36.709	23
BX284601.5	2300000	2400000	40.123	97.0361404	0.36662	0.04055821626361571	36.662	24
BX284601.5	2400000	2500000	36.616	90.3671722	0.35484	0.036922623907582594	35.484	25
BX284601.5	2500000	2600000	27.965	91.8609467	0.35932	0.03773695604877307	35.931999999999995	26
BX284601.5	2600000	2700000	25.187	92.8566971	0.39384	0.038279790027612094	39.384	27
BX284601.5	2700000	2800000	27.737	106.4016876	0.3794	0.04566385041709501	37.940000000000005	28
BX284601.5	2800000	2900000	29.185	101.0593491	0.36732	0.042751471105713465	36.732	29
BX284601.5	2900000	3000000	38.7	80.590271	0.35325	0.03159273985319304	35.325	30
BX284601.5	3000000	3100000	37.174	78.8818207	0.33035	0.030661377059868808	33.035	31
BX284601.5	3100000	3200000	35.634	78.9504395	0.34911	0.03069878464336278	34.910999999999994	32
BX284601.5	3200000	3300000	33.918	101.0270767	0.35623	0.04273387778584265	35.623	33
BX284601.5	3300000	3400000	29.613	106.918869	0.36669	0.04594579219401374	36.669000000000004	34
BX284601.5	3400000	3500000	34.152	99.1832428	0.36275	0.04172871053483751	36.275	35
BX284601.5	3500000	3600000	30.402	116.6780777	0.33731	0.05126603117050967	33.731	36
BX284601.5	3600000	3700000	20.257	119.7790222	0.36499	0.052956513083541275	36.498999999999995	37
BX284601.5	3700000	3800000	16.585	130.5314636	0.37345	0.058818213513082085	37.345	38
BX284601.5	3800000	3900000	15.105	144.5479736	0.37651	0.06645932306497075	37.651	39
BX284601.5	3900000	4000000	15.189	148.1203003	0.37494	0.06840677929122371	37.494	40
BX284601.5	4000000	4100000	7.327	141.1813507	0.37303	0.06462400639921037	37.303	41
BX284601.5	4100000	4200000	13.386	155.1389008	0.36013	0.07223297392322843	36.013	42
BX284601.5	4200000	4300000	28.413	141.2377625	0.35225	0.06465475932870703	35.225	43
BX284601.5	4300000	4400000	9.834	221.01004029999999	0.38659	0.10814266850677604	38.659	44
BX284601.5	4400000	4500000	16.649	109.6229401	0.34503	0.047419918314652615	34.503	45
BX284601.5	4500000	4600000	16.15	177.7549133	0.35046	0.0845621078616613	35.046	46
BX284601.5	4600000	4700000	14.145	141.9206848	0.3558	0.06502705486516566	35.58	47
BX284601.5	4700000	4800000	16.892	136.8609924	0.35895	0.062268760259214635	35.894999999999996	48
BX284601.5	4800000	4900000	15.085	146.7064362	0.34113	0.06763601035661856	34.113	49
BX284601.5	4900000	5000000	10.239	159.0803375	0.36659	0.0743816507062889	36.659000000000006	50
BX284601.5	5000000	5100000	11.406	163.1239166	0.34668	0.0765860104852087	34.668	51
BX284601.5	5100000	5200000	12.583	167.0194397	0.36401	0.07870965743933729	36.401	52
BX284601.5	5200000	5300000	12.563	151.3644104	0.34714	0.07017530802430266	34.714	53
BX284601.5	5300000	5400000	9.582	158.2896423	0.35304	0.07395060270323017	35.304	54
BX284601.5	5400000	5500000	12.692	153.5334167	0.34023	0.07135774322086991	34.022999999999996	55
BX284601.5	5500000	5600000	9.546	164.2422943	0.34961	0.0771956948164787	34.961	56
BX284601.5	5600000	5700000	10.596	140.7918243	0.35271	0.06441165582865088	35.271	57
BX284601.5	5700000	5800000	11.906	155.0517731	0.33829	0.07218547620084932	33.829	58
BX284601.5	5800000	5900000	7.741	163.6012268	0.34663	0.07684621645148947	34.663	59
BX284601.5	5900000	6000000	9.862	147.7925568	0.34317	0.06822810970882272	34.317	60
BX284601.5	6000000	6100000	8.107	153.4976959	0.34589	0.07133827000349403	34.589	61
BX284601.5	6100000	6200000	7.731	153.3995667	0.35531	0.07128477480622744	35.531	62
BX284601.5	6200000	6300000	6.982	142.6981659	0.35401	0.06545089919300638	35.400999999999996	63
BX284601.5	6300000	6400000	9.139	157.57589720000001	0.35639	0.0735615040972845	35.638999999999996	64
BX284601.5	6400000	6500000	6.31	160.3869781	0.35538	0.07509396668006163	35.538	65
BX284601.5	6500000	6600000	6.046	155.5464935	0.34833	0.07245517334899491	34.833	66
BX284601.5	6600000	6700000	9.608	167.2542267	0.33473	0.07883765172524436	33.473000000000006	67
BX284601.5	6700000	6800000	8.461	174.3244781	0.35405	0.08269200387901118	35.405	68
BX284601.5	6800000	6900000	6.31	158.8363037	0.34837	0.07424861552134172	34.837	69
BX284601.5	6900000	7000000	7.718	161.5730133	0.3323	0.07574053454150477	33.23	70
BX284601.5	7000000	7100000	11.707	149.1498566	0.36061	0.06896804257845693	36.061	71
BX284601.5	7100000	7200000	6.424	163.2605743	0.3444	0.0766605095193341	34.44	72
BX284601.5	7200000	7300000	9.618	165.373642	0.36196	0.07781244975169276	36.196	73
BX284601.5	7300000	7400000	8.186	157.9825134	0.35189	0.07378317118344022	35.189	74
BX284601.5	7400000	7500000	8.567	153.2196045	0.34278	0.07118666829573382	34.278	75
BX284601.5	7500000	7600000	9.363	158.467804	0.34871	0.07404772766997658	34.871	76
BX284601.5	7600000	7700000	5.34	167.556427	0.35185	0.07900239641553558	35.185	77
BX284601.5	7700000	7800000	14.226	135.4734039	0.35348	0.061512315485056104	35.348	78
BX284601.5	7800000	7900000	9.426	149.186203	0.34771	0.0689878568420801	34.771	79
BX284601.5	7900000	8000000	12.231	149.20870970000001	0.36005	0.069000126384238	36.004999999999995	80
BX284601.5	8000000	8100000	9.243	160.3792267	0.3508	0.07508974099930513	35.08	81
BX284601.5	8100000	8200000	8.978	166.3567657	0.33418	0.07834840027680623	33.418	82
BX284601.5	8200000	8300000	10.955	147.897995	0.3529	0.06828558941219781	35.29	83
BX284601.5	8300000	8400000	11.823	155.4727936	0.33918	0.0724149958005279	33.918	84
