X1	X2	X3	X4	X5	X6	normal_mean	GC_content	position
BX284601.5	0	100000	25.619	108.2456207	0.3573	0.5956262333779231	35.730000000000004	1
BX284601.5	100000	200000	16.377	112.84478	0.3693	0.6388144645987123	36.93	2
BX284601.5	200000	300000	21.329	88.0813217	0.36445	0.4062741473092518	36.445	3
BX284601.5	300000	400000	21.367	99.9830093	0.35621	0.5180364939595191	35.621	4
BX284601.5	400000	500000	28.588	88.3117905	0.35999	0.40843835584701166	35.998999999999995	5
BX284601.5	500000	600000	31.806	59.8372498	0.38676	0.14104925983170843	38.676	6
BX284601.5	600000	700000	41.864	61.0063019	0.35695	0.1520271993007651	35.695	7
BX284601.5	700000	800000	39.357	75.6803894	0.38983	0.2898236622117353	38.983000000000004	8
BX284601.5	800000	900000	32.744	66.0473175	0.38418	0.1993646653720982	38.418	9
BX284601.5	900000	1000000	37.228	55.8206482	0.38879	0.10333151462932064	38.879000000000005	10
BX284601.5	1000000	1100000	35.252	54.4916	0.36429	0.09085113784281232	36.429	11
BX284601.5	1200000	1300000	43.285	61.0554504	0.34681	0.15248872642859368	34.681	12
BX284601.5	1300000	1400000	47.685	58.8223991	0.34072	0.13151934276921834	34.072	13
BX284601.5	1400000	1500000	44.455	65.0196915	0.35081	0.18971478233880226	35.081	14
BX284601.5	1500000	1600000	49.307	44.8167686	0.34078	0	34.078	15
BX284601.5	1600000	1700000	45.041	82.3842163	0.35635	0.3527756948193789	35.635	16
BX284601.5	1700000	1800000	37.892	48.1929016	0.35948	0.0317034490708197	35.948	17
BX284601.5	1800000	1900000	41.676	67.7673721	0.37356	0.21551677294905952	37.356	18
BX284601.5	2000000	2100000	38.238	50.4902916	0.37021	0.05327700285581886	37.021	19
BX284601.5	2100000	2200000	43.336	46.6038284	0.33509	0.016781317369845658	33.509	20
BX284601.5	2200000	2300000	31.045	100.5272522	0.36709	0.5231471862996329	36.709	21
BX284601.5	2300000	2400000	40.123	66.6336823	0.36662	0.20487090181886183	36.662	22
BX284601.5	2400000	2500000	36.616	55.6724396	0.35484	0.10193976738418616	35.484	23
BX284601.5	2500000	2600000	27.965	76.3363419	0.35932	0.29598335931982517	35.931999999999995	24
BX284601.5	2600000	2700000	25.187	105.1701813	0.39384	0.5667464361696103	39.384	25
BX284601.5	2700000	2800000	27.737	92.6586838	0.3794	0.4492576927489755	37.940000000000005	26
BX284601.5	2800000	2900000	29.185	100.3518906	0.36732	0.5215004598363752	36.732	27
BX284601.5	2900000	3000000	38.7	64.3641815	0.35325	0.18355924051020345	35.325	28
BX284601.5	3000000	3100000	37.174	71.8078995	0.33035	0.2534591924701956	33.035	29
BX284601.5	3100000	3200000	35.634	58.3151817	0.34911	0.1267563369845725	34.910999999999994	30
BX284601.5	3200000	3300000	33.918	87.5791397	0.35623	0.4015584262575982	35.623	31
BX284601.5	3300000	3400000	29.613	97.8338623	0.36669	0.49785501045155156	36.669000000000004	32
BX284601.5	3400000	3500000	34.152	63.662281	0.36275	0.17696807044832114	36.275	33
BX284601.5	3500000	3600000	30.402	81.0335693	0.33731	0.3400924953194908	33.731	34
BX284601.5	3600000	3700000	20.257	61.5611496	0.36499	0.1572374756136389	36.498999999999995	35
BX284601.5	3700000	3800000	16.585	91.6873169	0.37345	0.4401361086635054	37.345	36
BX284601.5	3800000	3900000	15.105	109.1193314	0.37651	0.6038307806158666	37.651	37
BX284601.5	3900000	4000000	15.189	117.8150406	0.37494	0.6854875085222787	37.494	38
BX284601.5	4000000	4100000	7.327	145.3770752	0.37303	0.9443077505652526	37.303	39
BX284601.5	4100000	4200000	13.386	109.0871201	0.36013	0.6035283016231686	36.013	40
BX284601.5	4200000	4300000	28.413	95.7791595	0.35225	0.4785604016267598	35.225	41
BX284601.5	4300000	4400000	9.834	141.760437	0.38659	0.9103458465225857	38.659	42
BX284601.5	4400000	4500000	16.649	89.4444809	0.34503	0.4190748421493601	34.503	43
BX284601.5	4500000	4600000	16.15	75.9243622	0.35046	0.2921146795500527	35.046	44
BX284601.5	4600000	4700000	14.145	116.1819229	0.3558	0.6701517786121702	35.58	45
BX284601.5	4700000	4800000	16.892	112.0751877	0.35895	0.6315876372526495	35.894999999999996	46
BX284601.5	4800000	4900000	15.085	103.0734024	0.34113	0.5470567133213341	34.113	47
BX284601.5	4900000	5000000	10.239	120.3301926	0.36659	0.7091059481208877	36.659000000000006	48
BX284601.5	5000000	5100000	11.406	116.7372513	0.34668	0.6753665689201882	34.668	49
BX284601.5	5100000	5200000	12.583	70.1409531	0.36401	0.23780579543394548	36.401	50
BX284601.5	5200000	5300000	12.563	116.7634277	0.34714	0.6756123774129986	34.714	51
BX284601.5	5300000	5400000	9.582	110.1686783	0.35304	0.6136846329379678	35.304	52
BX284601.5	5400000	5500000	12.692	93.6064377	0.34023	0.45815753985225033	34.022999999999996	53
BX284601.5	5500000	5600000	9.546	103.9963608	0.34961	0.5557237192209492	34.961	54
BX284601.5	5600000	5700000	10.596	100.0988083	0.35271	0.5191239000833157	35.271	55
BX284601.5	5700000	5800000	11.906	102.5587234	0.33829	0.5422236396644846	33.829	56
BX284601.5	5800000	5900000	7.741	121.9133835	0.34663	0.7239728423064944	34.663	57
BX284601.5	5900000	6000000	9.862	86.6992722	0.34317	0.39329606382243354	34.317	58
BX284601.5	6000000	6100000	8.107	97.3208618	0.34589	0.49303769868538144	34.589	59
BX284601.5	6100000	6200000	7.731	129.6994171	0.35531	0.7970872959436265	35.531	60
BX284601.5	6200000	6300000	6.982	100.9839478	0.35401	0.5274357690348116	35.400999999999996	61
BX284601.5	6300000	6400000	9.139	114.0688705	0.35639	0.650309240078477	35.638999999999996	62
BX284601.5	6400000	6500000	6.31	142.5672913	0.35538	0.9179225812684093	35.538	63
BX284601.5	6500000	6600000	6.046	106.8533173	0.34833	0.582551861031505	34.833	64
BX284601.5	6600000	6700000	9.608	97.9117279	0.33473	0.49858620441931545	33.473000000000006	65
BX284601.5	6700000	6800000	8.461	74.3263474	0.35405	0.27710858209292755	35.405	66
BX284601.5	6800000	6900000	6.31	98.8923187	0.34837	0.5077944051883949	34.837	67
BX284601.5	6900000	7000000	7.718	89.1150894	0.3323	0.4159817037437905	33.23	68
BX284601.5	7000000	7100000	11.707	114.0444412	0.36061	0.6500798376620479	36.061	69
BX284601.5	7100000	7200000	6.424	112.3086014	0.3444	0.6337794997623261	34.44	70
BX284601.5	7200000	7300000	9.618	113.3987885	0.36196	0.6440168604357694	36.196	71
BX284601.5	7300000	7400000	8.186	107.8813629	0.35189	0.5922056843027093	35.189	72
BX284601.5	7400000	7500000	8.567	111.7014084	0.34278	0.6280776768922974	34.278	73
BX284601.5	7500000	7600000	9.363	109.0604401	0.34871	0.6032777640936311	34.871	74
BX284601.5	7600000	7700000	5.34	142.0703125	0.35185	0.9132557206692927	35.185	75
BX284601.5	7700000	7800000	14.226	108.3306274	0.35348	0.5964244855747791	35.348	76
BX284601.5	7800000	7900000	9.426	99.6728592	0.34771	0.515124041191912	34.771	77
BX284601.5	7900000	8000000	12.231	109.0299988	0.36005	0.6029919062188971	36.004999999999995	78
BX284601.5	8000000	8100000	9.243	112.4115524	0.3508	0.6347462572287202	35.08	79
BX284601.5	8100000	8200000	8.978	110.9640503	0.33418	0.6211535435805154	33.418	80
BX284601.5	8200000	8300000	10.955	119.246109	0.3529	0.6989259021330338	35.29	81
BX284601.5	8300000	8400000	11.823	110.6177216	0.33918	0.6179013570398154	33.918	82
BX284601.5	8400000	8500000	11.925	105.200943	0.34978	0.5670353027484097	34.977999999999994	83
BX284601.5	8500000	8600000	11.603	109.0383377	0.33815	0.6030702123435245	33.815	84
BX284601.5	8600000	8700000	12.172	103.0563965	0.35521	0.5468970200614556	35.521	85
BX284601.5	8700000	8800000	9.161	99.4877625	0.34725	0.5133858976408058	34.725	86
BX284601.5	8800000	8900000	8.723	106.5749588	0.35133	0.5799379460796416	35.132999999999996	87
BX284601.5	8900000	9000000	4.336	119.41185	0.36198	0.7004822867163565	36.198	88
BX284601.5	9000000	9100000	11.241	89.8201294	0.33919	0.42260235516151917	33.919	89
BX284601.5	9100000	9200000	6.934	111.5742798	0.35572	0.6268838805887914	35.571999999999996	90
BX284601.5	9200000	9300000	10.645	97.6895828	0.341	0.4965001592711586	34.1	91
BX284601.5	9300000	9400000	13.334	100.0734863	0.34778	0.5188861148013462	34.778	92
BX284601.5	9400000	9500000	11.284	105.3842392	0.35129	0.568756538772457	35.129	93
BX284601.5	9500000	9600000	9.484	91.5956421	0.3625	0.43927523992614304	36.25	94
BX284601.5	9600000	9700000	10.512	96.9730301	0.35834	0.48977139828010513	35.833999999999996	95
BX284601.5	9700000	9800000	9.794	101.0531311	0.34376	0.5280854321932539	34.376	96
BX284601.5	9800000	9900000	12.727	79.7981567	0.34156	0.3284914000884828	34.156	97
BX284601.5	9900000	10000000	10.776	120.2881775	0.35614	0.7087114069155929	35.614000000000004	98
BX284601.5	10000000	10100000	11.938	106.0138626	0.35047	0.5746689934641698	35.047	99
BX284601.5	10100000	10200000	8.04	70.2550812	0.35043	0.2388775110345748	35.043	100
BX284601.5	10200000	10300000	12.9	99.8253403	0.3463	0.5165559091864822	34.63	101
BX284601.5	10300000	10400000	7.175	96.3519592	0.33909	0.4839392555157299	33.909	102
BX284601.5	10400000	10500000	16.683	103.1704178	0.36674	0.5479677327607297	36.674	103
BX284601.5	10500000	10600000	11.452	121.3430023	0.34823	0.7186166992501772	34.823	104
BX284601.5	10600000	10700000	14.222	146.3139191	0.35542	0.9531051477267263	35.542	105
BX284601.5	10700000	10800000	13.422	118.3584824	0.35389	0.6905906781631829	35.388999999999996	106
BX284601.5	10800000	10900000	18.37	135.4254761	0.35031	0.8508576361177277	35.031	107
BX284601.5	10900000	11000000	22.757	68.986412	0.33591	0.22696412096080762	33.591	108
BX284601.5	11000000	11100000	32.205	128.0585327	0.35881	0.7816786331313194	35.881	109
BX284601.5	11100000	11200000	39.195	118.3378983	0.38091	0.690397383951723	38.091	110
BX284601.5	11200000	11300000	33.483	66.8842163	0.37214	0.20722353185728412	37.214000000000006	111
BX284601.5	11300000	11400000	39.523	52.6342583	0.35609	0.07340984095283205	35.609	112
BX284601.5	11400000	11500000	30.855	93.0388718	0.38068	0.45282783376395813	38.068000000000005	113
BX284601.5	11500000	11600000	21.749	79.329689	0.39097	0.32409227189410356	39.097	114
BX284601.5	11600000	11700000	25.52	63.5705795	0.37757	0.17610695098561993	37.757000000000005	115
BX284601.5	11700000	11800000	17.031	87.9866714	0.40387	0.40538533725183173	40.387	116
BX284601.5	11800000	11900000	30.086	85.6142197	0.34459	0.38310691941582536	34.459	117
BX284601.5	11900000	12000000	31.076	95.0290833	0.35747	0.47151683947860557	35.747	118
BX284601.5	12000000	12100000	25.935	63.0721588	0.3666	0.17142655027916304	36.66	119
BX284601.5	12100000	12200000	25.826	88.3839111	0.35533	0.40911560160985844	35.533	120
BX284601.5	12200000	12300000	21.136	97.4770584	0.38756	0.4945044569419831	38.756	121
BX284601.5	12300000	12400000	13.293	110.6467285	0.37499	0.618173745235675	37.499	122
BX284601.5	12400000	12500000	23.707	75.1647034	0.3724	0.28498113235952427	37.24	123
BX284601.5	12500000	12600000	11.491	119.9293823	0.39586	0.7053421541787918	39.586	124
BX284601.5	12600000	12700000	21.934	96.0959091	0.36978	0.4815348267491712	36.978	125
BX284601.5	12700000	12800000	25.407	93.7974472	0.3484	0.4599512073278185	34.839999999999996	126
BX284601.5	12800000	12900000	25.844	92.897049	0.34684	0.45149605213187166	34.684	127
BX284601.5	12900000	13000000	17.169	83.3839798	0.3594	0.36216393610167275	35.94	128
BX284601.5	13000000	13100000	16.342	118.8424606	0.34097	0.6951354571203764	34.097	129
BX284601.5	13100000	13200000	19.716	92.9506989	0.36271	0.4519998494859169	36.271	130
BX284601.5	13200000	13300000	21.436	92.3419418	0.36975	0.4462833389940761	36.975	131
BX284601.5	13300000	13400000	16.798	109.9284363	0.35317	0.6114286495357524	35.317	132
BX284601.5	13400000	13500000	31.42	62.9873505	0.33488	0.17063016114999283	33.488	133
BX284601.5	13500000	13600000	29.122	101.8085098	0.33609	0.5351787872668342	33.609	134
BX284601.5	13600000	13700000	35.182	66.6925964	0.35054	0.20542413244363372	35.054	135
BX284601.5	13700000	13800000	39.426	98.1918106	0.34654	0.5012163104059776	34.654	136
BX284601.5	13800000	13900000	32.863	83.3568573	0.33973	0.36190924329264434	33.973	137
BX284601.5	13900000	14000000	36.372	100.745018	0.38861	0.5251921077969987	38.861000000000004	138
BX284601.5	14000000	14100000	27.204	78.946579	0.38511	0.3204946919487869	38.511	139
BX284601.5	14100000	14200000	26.597	88.6388779	0.37667	0.4115098576887954	37.667	140
BX284601.5	14200000	14300000	34.187	86.6629028	0.38865	0.3929545383491669	38.865	141
BX284601.5	14300000	14400000	38.836	51.2728195	0.38075	0.06062530146376631	38.074999999999996	142
BX284601.5	14400000	14500000	36.082	57.3414497	0.34268	0.11761254351712695	34.268	143
BX284601.5	14500000	14600000	36.184	49.3924217	0.3358	0.04296749713994927	33.58	144
BX284601.5	14600000	14700000	30.837	70.2223511	0.34855	0.23857016027012531	34.855000000000004	145
BX284601.5	14700000	14800000	24.82	94.7448578	0.35887	0.46884783068544544	35.887	146
BX284601.5	14800000	14900000	18.323	107.3351822	0.38672	0.5870767951250866	38.672000000000004	147
BX284601.5	14900000	15000000	18.416	115.2553635	0.36143	0.6614509576584373	36.143	148
BX284602.5	0	100000	16.755	115.746582	0.35461	0.666063726378566	35.461	149
BX284602.5	100000	200000	19.689	137.6746216	0.36072	0.8719781517526607	36.071999999999996	150
BX284602.5	200000	300000	24.578	92.8492737	0.35682	0.45104741998663533	35.682	151
BX284602.5	300000	400000	15.372	144.1582031	0.34677	0.9328619782730494	34.677	152
BX284602.5	400000	500000	29.349	97.4313812	0.34357	0.4940755269253345	34.357	153
BX284602.5	500000	600000	24.495	113.987793	0.3489	0.6495478848854086	34.89	154
BX284602.5	600000	700000	35.358	79.1649933	0.37704	0.3225457031608419	37.704	155
BX284602.5	700000	800000	25.084	96.1545868	0.3575	0.4820858374686965	35.75	156
BX284602.5	800000	900000	17.214	112.7609634	0.38433	0.638027387990833	38.433	157
BX284602.5	900000	1000000	20.093	116.1440125	0.37579	0.6697957824367665	37.579	158
BX284602.5	1000000	1100000	58.453	68.7850723	0.3751	0.22507344813337923	37.51	159
BX284602.5	1100000	1200000	26.743	107.8241425	0.35813	0.5916683583036411	35.813	160
BX284602.5	1200000	1300000	28.475	91.985527	0.36797	0.4429364393133211	36.797000000000004	161
BX284602.5	1300000	1400000	37.942	98.2488174	0.35092	0.5017516306023354	35.092	162
BX284602.5	1400000	1500000	30.171	80.1150589	0.37011	0.3314672581954147	37.011	163
BX284602.5	1500000	1600000	40.941	111.654808	0.35974	0.6276400776010136	35.974000000000004	164
BX284602.5	1600000	1700000	25.449	114.5308533	0.38719	0.6546474720650115	38.719	165
BX284602.5	1700000	1800000	20.057	103.7217484	0.3758	0.5531449818792581	37.580000000000005	166
BX284602.5	1800000	1900000	36.946	88.276123	0.35783	0.4081034215391116	35.783	167
BX284602.5	1900000	2000000	46.992	103.5080185	0.36623	0.551137959347989	36.623	168
BX284602.5	2000000	2100000	40.974	118.579567	0.37095	0.6926667647262544	37.095	169
BX284602.5	2100000	2200000	38.386	81.8255692	0.35608	0.34752974038470136	35.608000000000004	170
BX284602.5	2200000	2300000	41.646	138.6820526	0.37691	0.8814383944033101	37.691	171
BX284602.5	2300000	2400000	30.884	70.5194778	0.35411	0.2413603172932731	35.411	172
BX284602.5	2400000	2500000	34.252	97.2702103	0.36073	0.4925620576929766	36.073	173
BX284602.5	2500000	2600000	38.631	63.1598511	0.37565	0.17225002150110633	37.565	174
BX284602.5	2600000	2700000	18.245	98.3636169	0.38425	0.5028296509592366	38.425	175
BX284602.5	2700000	2800000	23.935	121.2324829	0.39289	0.7175788710102242	39.289	176
BX284602.5	2800000	2900000	26.557	93.759491	0.37171	0.4595947810692494	37.171	177
BX284602.5	2900000	3000000	29.899	74.0528183	0.37579	0.27454001743885814	37.579	178
BX284602.5	3000000	3100000	33.519	105.435997	0.38351	0.5692425684331125	38.351	179
BX284602.5	3100000	3200000	28.165	61.9647484	0.3959	0.16102745485937475	39.589999999999996	180
BX284602.5	3200000	3300000	20.656	114.7879868	0.37352	0.6570620744582382	37.352000000000004	181
BX284602.5	3300000	3400000	20.866	107.0278168	0.3717	0.5841904919773634	37.169999999999995	182
BX284602.5	3400000	3500000	24.541	87.6610565	0.38487	0.40232766286552935	38.487	183
BX284602.5	3500000	3600000	24.671	74.0805206	0.37029	0.2748001548378275	37.029	184
BX284602.5	3600000	3700000	15.555	116.7940216	0.3775	0.6758996682722531	37.75	185
BX284602.5	3700000	3800000	10.139	90.8865509	0.38166	0.43261654586824705	38.166	186
BX284602.5	3800000	3900000	19.797	131.8439026	0.36335	0.817225005812391	36.335	187
BX284602.5	3900000	4000000	21.76	82.3387909	0.37863	0.35234912932109386	37.863	188
BX284602.5	4000000	4100000	17.383	89.6714935	0.37192	0.421206595371918	37.192	189
BX284602.5	4100000	4200000	16.119	121.1131134	0.3759	0.7164579362414046	37.59	190
BX284602.5	4200000	4300000	22.87	100.4970398	0.35911	0.5228634779016794	35.911	191
BX284602.5	4300000	4400000	19.523	88.4830933	0.34756	0.41004696830258985	34.756	192
BX284602.5	4400000	4500000	20.833	114.2318573	0.36055	0.6518397614510105	36.055	193
BX284602.5	4500000	4600000	16.117	102.3530197	0.34982	0.5402919868603359	34.982	194
BX284602.5	4600000	4700000	11.69	86.9546432	0.3548	0.39569411552616224	35.480000000000004	195
BX284602.5	4700000	4800000	8.229	121.8950272	0.36429	0.7238004681665602	36.429	196
BX284602.5	4800000	4900000	15.957	92.4888306	0.36138	0.44766269270729586	36.138	197
BX284602.5	4900000	5000000	12.617	94.1382904	0.36664	0.46315188248852324	36.664	198
BX284602.5	5000000	5100000	11.16	87.3015594	0.3607	0.3989518189633616	36.07	199
BX284602.5	5100000	5200000	7.888	84.0748901	0.34223	0.36865190310669144	34.223	200
BX284602.5	5200000	5300000	9.701	103.2552185	0.34935	0.5487640505223877	34.935	201
BX284602.5	5300000	5400000	6.897	102.9683075	0.35474	0.5460698236431866	35.474	202
BX284602.5	5400000	5500000	6.75	123.2873383	0.35454	0.7368749128195365	35.454	203
BX284602.5	5500000	5600000	9.674	93.8625717	0.35243	0.4605627564785815	35.243	204
BX284602.5	5600000	5700000	8.711	107.0537491	0.35955	0.5844340082583687	35.955	205
BX284602.5	5700000	5800000	8.846	118.4295197	0.35096	0.6912577512384078	35.096	206
BX284602.5	5800000	5900000	6.404	128.2666473	0.35411	0.783632925400609	35.411	207
BX284602.5	5900000	6000000	6.929	113.0963135	0.34857	0.6411764804040301	34.857	208
BX284602.5	6000000	6100000	13.836	81.6268005	0.35457	0.34566321043540044	35.457	209
BX284602.5	6100000	6200000	9.828	111.7313309	0.35395	0.6283586629952802	35.394999999999996	210
BX284602.5	6200000	6300000	4.476	126.4799194	0.35162	0.7668547247251433	35.162	211
BX284602.5	6300000	6400000	4.49	114.4626312	0.35	0.6540068350187653	35	212
BX284602.5	6400000	6500000	9.91	104.4151077	0.35196	0.5596559461260248	35.196	213
BX284602.5	6500000	6600000	14.222	83.8019714	0.35312	0.3660890703907041	35.312	214
BX284602.5	6600000	6700000	4.716	121.5613098	0.35699	0.7206667075608773	35.699	215
BX284602.5	6700000	6800000	8.601	113.2354507	0.353	0.6424830430110294	35.3	216
BX284602.5	6800000	6900000	3.815	116.3939972	0.35629	0.6721432542943426	35.629	217
BX284602.5	6900000	7000000	16.161	105.3607712	0.34643	0.5685361634072703	34.643	218
BX284602.5	7000000	7100000	13.444	80.9543076	0.36286	0.339348191327552	36.286	219
BX284602.5	7100000	7200000	7.222	112.776062	0.35463	0.6381691708222975	35.463	220
BX284602.5	7200000	7300000	4.639	96.7897873	0.34898	0.4880506637067354	34.898	221
BX284602.5	7300000	7400000	6.871	98.9693527	0.35116000000000003	0.5085177900478544	35.116	222
BX284602.5	7400000	7500000	11.842	81.8310318	0.35833	0.3475810367231141	35.833	223
BX284602.5	7500000	7600000	11.812	107.4076691	0.35844	0.5877574806142103	35.844	224
BX284602.5	7600000	7700000	5.208	127.5991211	0.36181	0.7773645459010048	36.181000000000004	225
BX284602.5	7700000	7800000	2.501	118.5860825	0.3574	0.6927279482822403	35.74	226
BX284602.5	7800000	7900000	6.18	124.0214081	0.35827	0.7437681674747076	35.827	227
BX284602.5	7900000	8000000	5.688	98.9112396	0.3352	0.5079720811832458	33.52	228
BX284602.5	8000000	8100000	5.91	112.3992996	0.35356	0.6346311977743756	35.356	229
BX284602.5	8100000	8200000	4.721	112.7071304	0.35674	0.6375218712431725	35.674	230
BX284602.5	8200000	8300000	13.283	85.9464874	0.36261	0.3862270666685634	36.260999999999996	231
BX284602.5	8300000	8400000	5.234	111.1444473	0.34564	0.6228475547767652	34.564	232
BX284602.5	8400000	8500000	5.318	117.3031769	0.35882	0.680680871833454	35.882	233
