X1	X2	X3	X4	X5	X6	normal_mean	GC_content	position
BX284601.5	0	100000	25.619	105.7154312	0.3573	0.3385527750481757	35.730000000000004	1
BX284601.5	100000	200000	16.377	131.2785797	0.3693	0.48045090437342275	36.93	2
BX284601.5	200000	300000	21.329	104.739769	0.36445	0.3331369851648069	36.445	3
BX284601.5	300000	400000	21.367	99.9568787	0.35621	0.30658770519884854	35.621	4
BX284601.5	400000	500000	28.588	94.1192093	0.35999	0.274183466437757	35.998999999999995	5
BX284601.5	500000	600000	31.806	85.7626801	0.38676	0.22779732346590031	38.676	6
BX284601.5	600000	700000	41.864	61.5163689	0.35695	0.09320880819291716	35.695	7
BX284601.5	700000	800000	39.357	86.3651123	0.38983	0.23114135607695738	38.983000000000004	8
BX284601.5	800000	900000	32.744	44.7246704	0.38418	0	38.418	9
BX284601.5	900000	1000000	37.228	89.4704895	0.38879	0.2483789516544064	38.879000000000005	10
BX284601.5	1000000	1100000	35.252	59.4339294	0.36429	0.08164942342139718	36.429	11
BX284601.5	1100000	1200000	46.999	102.7216492	0.34584	0.3219346317311428	34.583999999999996	12
BX284601.5	1200000	1300000	43.285	89.1837921	0.34681	0.24678752700096782	34.681	13
BX284601.5	1300000	1400000	47.685	60.2537003	0.34072	0.08619987843226075	34.072	14
BX284601.5	1400000	1500000	44.455	69.4735413	0.35081	0.13737816699777977	35.081	15
BX284601.5	1500000	1600000	49.307	75.438858	0.34078	0.1704909614003416	34.078	16
BX284601.5	1600000	1700000	45.041	82.2964478	0.35635	0.20855666227830252	35.635	17
BX284601.5	1700000	1800000	37.892	62.6343803	0.35948	0.09941476229220582	35.948	18
BX284601.5	1800000	1900000	41.676	97.3875885	0.37356	0.2923258675745164	37.356	19
BX284601.5	1900000	2000000	51.163	74.3731003	0.3176	0.16457506164550598	31.759999999999998	20
BX284601.5	2000000	2100000	38.238	95.0866165	0.37021	0.27955343375519354	37.021	21
BX284601.5	2100000	2200000	43.336	75.1113586	0.33509	0.16867304948643397	33.509	22
BX284601.5	2200000	2300000	31.045	108.2576904	0.36709	0.35266456666648516	36.709	23
BX284601.5	2300000	2400000	40.123	97.0361404	0.36662	0.29037501915125136	36.662	24
BX284601.5	2400000	2500000	36.616	90.3671722	0.35484	0.25335633531778073	35.484	25
BX284601.5	2500000	2600000	27.965	91.8609467	0.35932	0.2616481076393223	35.931999999999995	26
BX284601.5	2600000	2700000	25.187	92.8566971	0.39384	0.267175404835709	39.384	27
BX284601.5	2700000	2800000	27.737	106.4016876	0.3794	0.3423621062578066	37.940000000000005	28
BX284601.5	2800000	2900000	29.185	101.0593491	0.36732	0.3127073929750415	36.732	29
BX284601.5	2900000	3000000	38.7	80.590271	0.35325	0.19908586895180225	35.325	30
BX284601.5	3000000	3100000	37.174	78.8818207	0.33035	0.1896024556854295	33.035	31
BX284601.5	3100000	3200000	35.634	78.9504395	0.34911	0.18998335083833065	34.910999999999994	32
BX284601.5	3200000	3300000	33.918	101.0270767	0.35623	0.312528252553867	35.623	33
BX284601.5	3300000	3400000	29.613	106.918869	0.36669	0.3452329213759761	36.669000000000004	34
BX284601.5	3400000	3500000	34.152	99.1832428	0.36275	0.3022933403247856	36.275	35
BX284601.5	3500000	3600000	30.402	116.6780777	0.33731	0.3994051786871081	33.731	36
BX284601.5	3600000	3700000	20.257	119.7790222	0.36499	0.41661816885110975	36.498999999999995	37
BX284601.5	3700000	3800000	16.585	130.5314636	0.37345	0.47630374789233537	37.345	38
BX284601.5	3800000	3900000	15.105	144.5479736	0.37651	0.5541078004200833	37.651	39
BX284601.5	3900000	4000000	15.189	148.1203003	0.37494	0.573937379553054	37.494	40
BX284601.5	4000000	4100000	7.327	141.1813507	0.37303	0.5354200596805754	37.303	41
BX284601.5	4100000	4200000	13.386	155.1389008	0.36013	0.6128968325105504	36.013	42
BX284601.5	4200000	4300000	28.413	141.2377625	0.35225	0.5357331951651136	35.225	43
BX284601.5	4300000	4400000	9.834	221.01004029999999	0.38659	0.978540034543054	38.659	44
BX284601.5	4400000	4500000	16.649	109.6229401	0.34503	0.36024291244387846	34.503	45
BX284601.5	4500000	4600000	16.15	177.7549133	0.35046	0.7384357451584351	35.046	46
BX284601.5	4600000	4700000	14.145	141.9206848	0.3558	0.5395240191649232	35.58	47
BX284601.5	4700000	4800000	16.892	136.8609924	0.35895	0.5114382422301621	35.894999999999996	48
BX284601.5	4800000	4900000	15.085	146.7064362	0.34113	0.5660891807715103	34.113	49
BX284601.5	4900000	5000000	10.239	159.0803375	0.36659	0.6347752992645137	36.659000000000006	50
BX284601.5	5000000	5100000	11.406	163.1239166	0.34668	0.6572207468614193	34.668	51
BX284601.5	5100000	5200000	12.583	167.0194397	0.36401	0.6788443524447959	36.401	52
BX284601.5	5200000	5300000	12.563	151.3644104	0.34714	0.591945065676504	34.714	53
BX284601.5	5300000	5400000	9.582	158.2896423	0.35304	0.630386240156773	35.304	54
BX284601.5	5400000	5500000	12.692	153.5334167	0.34023	0.6039849729072067	34.022999999999996	55
BX284601.5	5500000	5600000	9.546	164.2422943	0.34961	0.6634287342503387	34.961	56
BX284601.5	5600000	5700000	10.596	140.7918243	0.35271	0.5332578429457003	35.271	57
BX284601.5	5700000	5800000	11.906	155.0517731	0.33829	0.6124131965592742	33.829	58
BX284601.5	5800000	5900000	7.741	163.6012268	0.34663	0.6598702414840344	34.663	59
BX284601.5	5900000	6000000	9.862	147.7925568	0.34317	0.5721181126678145	34.317	60
BX284601.5	6000000	6100000	8.107	153.4976959	0.34589	0.6037866908099133	34.589	61
BX284601.5	6100000	6200000	7.731	153.3995667	0.35531	0.6032419867836396	35.531	62
BX284601.5	6200000	6300000	6.982	142.6981659	0.35401	0.543839728306766	35.400999999999996	63
BX284601.5	6300000	6400000	9.139	157.57589720000001	0.35639	0.6264243223004863	35.638999999999996	64
BX284601.5	6400000	6500000	6.31	160.3869781	0.35538	0.642028312595028	35.538	65
BX284601.5	6500000	6600000	6.046	155.5464935	0.34833	0.6151593332215496	34.833	66
BX284601.5	6600000	6700000	9.608	167.2542267	0.33473	0.6801476283730287	33.473000000000006	67
BX284601.5	6700000	6800000	8.461	174.3244781	0.35405	0.719393789600751	35.405	68
BX284601.5	6800000	6900000	6.31	158.8363037	0.34837	0.6334206954013732	34.837	69
BX284601.5	6900000	7000000	7.718	161.5730133	0.3323	0.6486118590699037	33.23	70
BX284601.5	7000000	7100000	11.707	149.1498566	0.36061	0.5796523294546682	36.061	71
BX284601.5	7100000	7200000	6.424	163.2605743	0.3444	0.6579793182082896	34.44	72
BX284601.5	7200000	7300000	9.618	165.373642	0.36196	0.6697087166338239	36.196	73
BX284601.5	7300000	7400000	8.186	157.9825134	0.35189	0.6286814025710694	35.189	74
BX284601.5	7400000	7500000	8.567	153.2196045	0.34278	0.6022430370834783	34.278	75
BX284601.5	7500000	7600000	9.363	158.467804	0.34871	0.6313751954862546	34.871	76
BX284601.5	7600000	7700000	5.34	167.556427	0.35185	0.6818251078607971	35.185	77
BX284601.5	7700000	7800000	14.226	135.4734039	0.35348	0.5037358963151735	35.348	78
BX284601.5	7800000	7900000	9.426	149.186203	0.34771	0.579854084186395	34.771	79
BX284601.5	7900000	8000000	12.231	149.20870970000001	0.36005	0.5799790163177905	36.004999999999995	80
BX284601.5	8000000	8100000	9.243	160.3792267	0.3508	0.6419852854554075	35.08	81
BX284601.5	8100000	8200000	8.978	166.3567657	0.33418	0.6751659244548918	33.418	82
BX284601.5	8200000	8300000	10.955	147.897995	0.3529	0.5727033881216352	35.29	83
BX284601.5	8300000	8400000	11.823	155.4727936	0.33918	0.6147502334605612	33.918	84
BX284601.5	8400000	8500000	11.925	148.824234	0.34978	0.5778448354440605	34.977999999999994	85
BX284601.5	8500000	8600000	11.603	153.0285034	0.33815	0.6011822566165496	33.815	86
BX284601.5	8600000	8700000	12.172	164.6072845	0.35521	0.6654547533301889	35.521	87
BX284601.5	8700000	8800000	9.161	149.6153412	0.34725	0.5822361815169331	34.725	88
BX284601.5	8800000	8900000	8.723	173.7703247	0.35133	0.7163177471164215	35.132999999999996	89
BX284601.5	8900000	9000000	4.336	159.0439758	0.36198	0.6345734596042274	36.198	90
BX284601.5	9000000	9100000	11.241	158.4236298	0.33919	0.6311299895271983	33.919	91
BX284601.5	9100000	9200000	6.934	169.7660217	0.35572	0.6940903166826674	35.571999999999996	92
BX284601.5	9200000	9300000	10.645	154.8495941	0.341	0.611290923929639	34.1	93
BX284601.5	9300000	9400000	13.334	147.2545471	0.34778	0.5691316820257191	34.778	94
BX284601.5	9400000	9500000	11.284	154.6890869	0.35129	0.6103999667213268	35.129	95
BX284601.5	9500000	9600000	9.484	155.9846954	0.3625	0.6175917421197246	36.25	96
BX284601.5	9600000	9700000	10.512	161.0551147	0.35834	0.6457370628561209	35.833999999999996	97
BX284601.5	9700000	9800000	9.794	133.3913574	0.34376	0.4921786930419469	34.376	98
BX284601.5	9800000	9900000	12.727	129.0670471	0.34156	0.468174938489103	34.156	99
BX284601.5	9900000	10000000	10.776	145.3937836	0.35614	0.5588027955129056	35.614000000000004	100
BX284601.5	10000000	10100000	11.938	132.8491364	0.35047	0.48916888595261804	35.047	101
BX284601.5	10100000	10200000	8.04	213.335434	0.35043	0.9359391680152961	35.043	102
BX284601.5	10300000	10400000	7.175	146.6509094	0.33909	0.5657809578212966	33.909	103
BX284601.5	10400000	10500000	16.683	143.0756226	0.36674	0.5459349475099593	36.674	104
BX284601.5	10500000	10600000	11.452	153.7123871	0.34823	0.6049784172383926	34.823	105
BX284601.5	10600000	10700000	14.222	145.4533997	0.35542	0.5591337177022309	35.542	106
BX284601.5	10700000	10800000	13.422	130.3070374	0.35389	0.47505798358628476	35.388999999999996	107
BX284601.5	10800000	10900000	18.37	136.3011932	0.35031	0.5083308605522844	35.031	108
BX284601.5	10900000	11000000	22.757	93.4280014	0.33591	0.2703466500148961	33.591	109
BX284601.5	11000000	11100000	32.205	80.530899	0.35881	0.19875630173380882	35.881	110
BX284601.5	11100000	11200000	39.195	91.8912964	0.38091	0.2618165753715182	38.091	111
BX284601.5	11200000	11300000	33.483	89.0057373	0.37214	0.2457991650612255	37.214000000000006	112
BX284601.5	11300000	11400000	39.523	47.8832588	0.35609	0.017532964895479335	35.609	113
BX284601.5	11400000	11500000	30.855	101.8288498	0.38068	0.31697880382431415	38.068000000000005	114
BX284601.5	11500000	11600000	21.749	82.7032089	0.39097	0.2108145468723024	39.097	115
BX284601.5	11600000	11700000	25.52	87.8821869	0.37757	0.2395624646030392	37.757000000000005	116
BX284601.5	11700000	11800000	17.031	110.4921417	0.40387	0.3650677516473324	40.387	117
BX284601.5	11800000	11900000	30.086	89.41922	0.34459	0.2480943604921933	34.459	118
BX284601.5	11900000	12000000	31.076	83.2923737	0.35747	0.2140849336552248	35.747	119
BX284601.5	12000000	12100000	25.935	99.2500687	0.3666	0.30266428329374245	36.66	120
BX284601.5	12100000	12200000	25.826	106.7927628	0.35533	0.34453292020529425	35.533	121
BX284601.5	12200000	12300000	21.136	119.3782425	0.38756	0.4143934863280811	38.756	122
BX284601.5	12300000	12400000	13.293	150.1541443	0.37499	0.5852270162321735	37.499	123
BX284601.5	12400000	12500000	23.707	138.6112823	0.3724	0.5211539023565693	37.24	124
BX284601.5	12500000	12600000	11.491	110.9482727	0.39586	0.367599682940039	39.586	125
BX284601.5	12600000	12700000	21.934	107.34272	0.36978	0.34758567006077273	36.978	126
BX284601.5	12700000	12800000	25.407	90.7587585	0.3484	0.2555299863232269	34.839999999999996	127
BX284601.5	12800000	12900000	25.844	85.0377731	0.34684	0.22377344717246261	34.684	128
BX284601.5	12900000	13000000	17.169	117.916832	0.3594	0.4062813628888939	35.94	129
BX284601.5	13000000	13100000	16.342	136.7680969	0.34097	0.5109225898772162	34.097	130
BX284601.5	13100000	13200000	19.716	138.4705658	0.36271	0.5203728010726177	36.271	131
BX284601.5	13200000	13300000	21.436	134.6911774	0.36975	0.49939384599775516	36.975	132
BX284601.5	13300000	13400000	16.798	96.7979584	0.35317	0.28905289796422523	35.317	133
BX284601.5	13400000	13500000	31.42	66.6228714	0.33488	0.1215544226677811	33.488	134
BX284601.5	13500000	13600000	29.122	102.9508667	0.33609	0.3232069919984475	33.609	135
BX284601.5	13600000	13700000	35.182	78.5686417	0.35054	0.1878640346828698	35.054	136
BX284601.5	13700000	13800000	39.426	60.4723587	0.34654	0.08741362633664161	34.654	137
BX284601.5	13800000	13900000	32.863	56.3252296	0.33973	0.0643933844693186	33.973	138
BX284601.5	13900000	14000000	36.372	105.5284882	0.38861	0.33751507572133227	38.861000000000004	139
BX284601.5	14000000	14100000	27.204	90.805542	0.38511	0.25578967620975585	38.511	140
BX284601.5	14100000	14200000	26.597	50.8666801	0.37667	0.03409359714541902	37.667	141
BX284601.5	14200000	14300000	34.187	104.0212021	0.38865	0.3291483020452357	38.865	142
BX284601.5	14300000	14400000	38.836	64.4226837	0.38075	0.10934143103279459	38.074999999999996	143
BX284601.5	14400000	14500000	36.082	69.3880997	0.34268	0.13690389039579723	34.268	144
BX284601.5	14500000	14600000	36.184	69.6414337	0.3358	0.13831011861117068	33.58	145
BX284601.5	14600000	14700000	30.837	85.3211899	0.34855	0.22534666158849387	34.855000000000004	146
BX284601.5	14700000	14800000	24.82	107.8377228	0.35887	0.3503333742933229	35.887	147
BX284601.5	14800000	14900000	18.323	120.2090988	0.38672	0.4190054751332981	38.672000000000004	148
BX284601.5	14900000	15000000	18.416	109.2869186	0.36143	0.3583776953223231	36.143	149
BX284602.5	0	100000	16.755	157.8146973	0.35461	0.627749874490299	35.461	150
BX284602.5	100000	200000	19.689	154.9251251	0.36072	0.6117101879184261	36.071999999999996	151
BX284602.5	200000	300000	24.578	94.346817	0.35682	0.2754468908883884	35.682	152
BX284602.5	300000	400000	15.372	140.2549133	0.34677	0.5302775110623196	34.677	153
BX284602.5	400000	500000	29.349	83.5134125	0.34357	0.21531189488921745	34.357	154
BX284602.5	500000	600000	24.495	118.6475067	0.3489	0.41033725502891283	34.89	155
BX284602.5	600000	700000	35.358	112.704483	0.37704	0.3773482065333565	37.704	156
BX284602.5	700000	800000	25.084	98.6820221	0.3575	0.29951112123666773	35.75	157
BX284602.5	800000	900000	17.214	147.5366669	0.38433	0.5706976969422938	38.433	158
BX284602.5	900000	1000000	20.093	136.7575836	0.37579	0.5108642317448823	37.579	159
BX284602.5	1000000	1100000	58.453	105.1074371	0.3751	0.33517786896292623	37.51	160
BX284602.5	1100000	1200000	26.743	60.7858887	0.35813	0.08915399570027242	35.813	161
BX284602.5	1200000	1300000	28.475	85.799057	0.36797	0.22799924749965744	36.797000000000004	162
BX284602.5	1300000	1400000	37.942	67.3139496	0.35092	0.1253905191406964	35.092	163
BX284602.5	1400000	1500000	30.171	96.7038116	0.37011	0.28853029978732386	37.011	164
BX284602.5	1500000	1600000	40.941	115.8055801	0.35974	0.3945620437625988	35.974000000000004	165
BX284602.5	1600000	1700000	25.449	149.2064056	0.38719	0.579966226520799	38.719	166
BX284602.5	1700000	1800000	20.057	148.6847687	0.3758	0.5770706794289757	37.580000000000005	167
BX284602.5	1800000	1900000	36.946	137.5836182	0.35783	0.5154494558419033	35.783	168
BX284602.5	1900000	2000000	46.992	137.5349274	0.36623	0.5151791787500439	36.623	169
BX284602.5	2000000	2100000	40.974	130.1257477	0.37095	0.47405166508463636	37.095	170
BX284602.5	2100000	2200000	38.386	100.7571182	0.35608	0.311029743630154	35.608000000000004	171
BX284602.5	2200000	2300000	41.646	89.1528015	0.37691	0.246615501705779	37.691	172
BX284602.5	2300000	2400000	30.884	132.0461731	0.35411	0.48471172801736506	35.411	173
BX284602.5	2400000	2500000	34.252	81.1043167	0.36073	0.20193927815598092	36.073	174
BX284602.5	2500000	2600000	38.631	89.7408676	0.37565	0.24987978972998676	37.565	175
BX284602.5	2600000	2700000	18.245	109.8684769	0.38425	0.36160585928904154	38.425	176
BX284602.5	2700000	2800000	23.935	102.5011368	0.39289	0.3207105924836682	39.289	177
BX284602.5	2800000	2900000	26.557	84.7724533	0.37171	0.22230068714476303	37.171	178
BX284602.5	2900000	3000000	29.899	76.4404678	0.37579	0.17605078345957795	37.579	179
BX284602.5	3000000	3100000	33.519	93.6017609	0.38351	0.2713111692329607	38.351	180
BX284602.5	3100000	3200000	28.165	110.1267929	0.3959	0.36303974201967537	39.589999999999996	181
BX284602.5	3200000	3300000	20.656	136.1104126	0.37352	0.5072718591443964	37.352000000000004	182
BX284602.5	3300000	3400000	20.866	126.5082169	0.3717	0.4539711631348681	37.169999999999995	183
BX284602.5	3400000	3500000	24.541	123.1932678	0.38487	0.4355702577808812	38.487	184
BX284602.5	3500000	3600000	24.671	103.0793304	0.37029	0.32392007938344625	37.029	185
BX284602.5	3600000	3700000	15.555	145.1673279	0.3775	0.5575457656832256	37.75	186
BX284602.5	3700000	3800000	10.139	154.8775635	0.38166	0.6114461788873119	38.166	187
